Subset,Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std
FD002,Ensemble(avg),14.226574897766113,1.4301882726909598,18.86299411404464,1.8426061324594372
FD002,GRU+Attention,14.709499168395997,2.1260787686331133,19.952225574590717,2.6990074970569466
FD002,BiLSTM,14.723971366882324,1.5116033282865897,20.3203563883686,2.2848753939800255
FD002,XGBoost,15.575470733642579,0.8766765585320315,20.435200452575504,0.9944192065294581
FD003,GRU+Attention,8.892553329467773,1.009120125338709,13.362685831989655,1.3428610225190085
FD003,BiLSTM,8.542265033721923,0.6308953692949765,13.422734772323654,0.9337123659074532
FD003,Ensemble(avg),9.10093355178833,1.016302713511303,13.443439743231295,1.4398309593554492
FD003,XGBoost,12.317023849487304,1.552335172466869,17.729876875831433,2.1093011853654047
FD004,XGBoost,12.938224792480469,0.6286237777038749,18.38104047833253,1.3288847120879068
FD004,Ensemble(avg),13.012397575378419,1.046188504508182,18.706302712983966,1.9318436024086076
FD004,BiLSTM,13.805365943908692,0.9087157273594112,20.431934013153814,1.7256898146964688
FD004,GRU+Attention,14.532016944885253,1.7521965072166168,21.512537765020237,3.161432145936287
