Subset,Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std
FD001,GRU+Attention,9.552181816101074,0.7634633084335913,13.587534718504395,1.0659071949253518
FD001,BiLSTM,9.495944213867189,0.7051295329980007,13.66707023922232,1.1413957755291797
FD001,Ensemble(avg),10.383931159973145,0.6491141380075283,13.868819875863002,0.7881557459309223
FD001,XGBoost,14.463774681091309,0.4246301039502366,19.46294834757989,0.7067843304193601
FD002,Ensemble(avg),14.226574897766112,1.4301882726909598,18.86299411404464,1.8426061324594367
FD002,GRU+Attention,14.709499168395997,2.1260787686331133,19.95222557459072,2.699007497056946
FD002,BiLSTM,14.723971366882324,1.5116033282865895,20.3203563883686,2.284875393980025
FD002,XGBoost,15.57547073364258,0.8766765585320315,20.435200452575504,0.994419206529458
FD003,GRU+Attention,8.892553329467773,1.009120125338709,13.362685831989657,1.3428610225190083
FD003,BiLSTM,8.542265033721923,0.6308953692949765,13.422734772323654,0.9337123659074532
FD003,Ensemble(avg),9.10093355178833,1.016302713511303,13.443439743231297,1.4398309593554492
FD003,XGBoost,12.317023849487304,1.552335172466869,17.729876875831433,2.1093011853654047
FD004,XGBoost,12.938224792480469,0.6286237777038749,18.38104047833253,1.3288847120879068
FD004,Ensemble(avg),13.01239757537842,1.046188504508182,18.70630271298397,1.931843602408608
FD004,BiLSTM,13.805365943908692,0.9087157273594112,20.43193401315381,1.7256898146964688
FD004,GRU+Attention,14.532016944885251,1.7521965072166168,21.51253776502024,3.161432145936287
